Iteration	Posterior	Likelihood	Prior	prob_rate_12	prob_rate_13	prob_rate_21	prob_rate_23	prob_rate_31	prob_rate_32	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
0	-75.316	-88.9828	13.6668	0	1	0	0	1	1	0.002948121	0	5.938285e-06	0.0006930392	0	0	0.838171	0.0519912	0.109838
1	-34.6557	-57.2895	22.6338	0	0	0	0	1	0	0.002948121	0.004023742	0.0004766977	0.0008268527	0	0.0009623815	0.838171	0.0519912	0.109838
2	-46.1389	-56.4746	10.3358	0	0	1	1	1	0	0.002948121	0.004023742	0	0	0	0.0009623815	0.644717	0.270796	0.0844867
3	-37.4027	-60.4712	23.0685	0	0	1	0	0	0	0.002948121	0.003033741	0	0.001344378	0.0006518364	0.0007001916	0.845465	0.132023	0.0225124
4	-35.0343	-58.1321	23.0978	0	0	1	0	0	0	0.003192845	0.004183679	0	0.0001011979	0.0004626209	0.0007001916	0.845465	0.132023	0.0225124
5	-43.3715	-56.7928	13.4212	0	0	1	0	1	0	0.004358201	0.005611805	0	0.0006764262	0	0.001882448	0.491199	0.43468	0.0741211
6	-41.0199	-57.4795	16.4596	0	0	1	0	1	0	0.003841385	0.002965351	0	0.0006377846	0	0.001173896	0.354532	0.567116	0.078352
7	-47.8121	-57.8919	10.0798	0	0	1	1	1	0	0.003637269	0.002841715	0	0	0	0.001784693	0.462146	0.51114	0.0267139
8	-40.6754	-55.9033	15.2279	0	0	1	0	1	0	0.00390074	0.004299048	0	0.0006405212	0	0.001363331	0.851367	0.143539	0.00509438
9	-46.6357	-55.31	8.67425	0	0	1	1	1	0	0.004112479	0.004768065	0	0	0	0.001192127	0.814725	0.180399	0.00487512
10	-47.9818	-55.4814	7.49967	0	0	1	1	1	0	0.004433975	0.005878365	0	0	0	0.001272063	0.551892	0.444085	0.00402267
11	-42.1166	-55.7611	13.6445	0	0	1	0	1	0	0.004803869	0.005878365	0	5.652941e-05	0	0.001502824	0.503132	0.424875	0.0719931
12	-48.9127	-55.3635	6.45085	0	0	1	1	1	0	0.005425635	0.005878365	0	0	0	0.001630273	0.866594	0.101924	0.0314821
13	-48.1163	-55.6075	7.49118	0	0	1	1	1	0	0.00299122	0.007429996	0	0	0	0.001174119	0.894577	0.0729241	0.0324987
