Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-1580.68	-1583.55	2.86696	0.2072964	0.1587053	0.04859112	0.1587053
10	-1569.61	-1571.85	2.23862	0.2937098	0.210778	0.0829319	0.210778
20	-1571.78	-1573.68	1.89567	0.3156225	0.2102173	0.1054051	0.2102173
30	-1570.36	-1572.93	2.57503	0.2516167	0.1634651	0.08815151	0.1634651
40	-1571.07	-1572.89	1.81938	0.3501083	0.2679046	0.08220372	0.2679046
50	-1569.83	-1571.96	2.13545	0.3034116	0.2161015	0.08731005	0.2161015
60	-1570.02	-1572.32	2.30225	0.2768725	0.181442	0.09543043	0.181442
70	-1569.97	-1572.4	2.42786	0.2656493	0.1741504	0.09149889	0.1741504
80	-1569.64	-1571.95	2.31359	0.2872431	0.2093685	0.07787461	0.2093685
90	-1574.03	-1576.97	2.94226	0.2178996	0.1450686	0.07283102	0.1450686
100	-1569.91	-1572.33	2.41877	0.2754925	0.2004335	0.07505904	0.2004335
110	-1569.69	-1571.92	2.23276	0.2915238	0.2044098	0.08711395	0.2044098
120	-1569.93	-1572.24	2.30885	0.2774806	0.1837714	0.09370914	0.1837714
130	-1569.91	-1571.97	2.0612	0.3204348	0.2437772	0.07665758	0.2437772
140	-1571.13	-1573.08	1.95408	0.3133694	0.2125695	0.1008	0.2125695
150	-1572.38	-1574.15	1.77014	0.3474991	0.2992058	0.04829334	0.2992058
160	-1571.22	-1573.79	2.56887	0.2583177	0.191463	0.06685474	0.191463
170	-1569.92	-1572.28	2.36161	0.283284	0.2114947	0.07178929	0.2114947
180	-1574.67	-1576.09	1.41872	0.4173917	0.3413176	0.07607403	0.3413176
190	-1574.54	-1575.98	1.44039	0.4027169	0.3162701	0.08644679	0.3162701
200	-1571.93	-1574.7	2.76955	0.2254425	0.1258767	0.09956584	0.1258767
210	-1571.6	-1573.97	2.37005	0.2775586	0.2205556	0.05700294	0.2205556
220	-1570.14	-1572.15	2.00566	0.3226883	0.2384481	0.08424028	0.2384481
230	-1569.97	-1572.35	2.37107	0.2704323	0.1767427	0.09368968	0.1767427
240	-1570.07	-1572.2	2.12558	0.3144337	0.2474602	0.06697347	0.2474602
250	-1570.3	-1572.4	2.10701	0.2990166	0.2026645	0.09635206	0.2026645
260	-1570.75	-1572.62	1.87117	0.3434768	0.2621288	0.081348	0.2621288
270	-1571.23	-1573.41	2.17032	0.3018659	0.2466839	0.05518203	0.2466839
280	-1570.09	-1572.23	2.14177	0.2968584	0.2027594	0.09409896	0.2027594
290	-1570.22	-1572.35	2.13022	0.3135262	0.2490072	0.06451907	0.2490072
300	-1572.2	-1574.79	2.58985	0.233953	0.120608	0.113345	0.120608
310	-1570.37	-1572.31	1.94787	0.3377045	0.2642713	0.07343319	0.2642713
320	-1569.64	-1571.86	2.21568	0.3000238	0.2231644	0.07685943	0.2231644
330	-1570.69	-1572.77	2.08039	0.2978114	0.1968437	0.1009677	0.1968437
340	-1572.24	-1573.96	1.71914	0.3646641	0.3118015	0.05286261	0.3118015
350	-1570.34	-1572.29	1.9537	0.3308699	0.2480857	0.08278418	0.2480857
360	-1569.89	-1572.36	2.46449	0.2662878	0.1824539	0.08383398	0.1824539
370	-1571.46	-1574.07	2.61184	0.2371243	0.1318628	0.1052615	0.1318628
380	-1569.9	-1572.33	2.42891	0.2739505	0.1978747	0.07607583	0.1978747
390	-1569.6	-1571.85	2.24484	0.2952396	0.2162144	0.07902514	0.2162144
400	-1569.67	-1572.01	2.34474	0.2832052	0.2048549	0.07835031	0.2048549
410	-1571.26	-1573.34	2.08324	0.2910678	0.1835434	0.1075244	0.1835434
420	-1569.97	-1572.14	2.1706	0.2944889	0.2016696	0.09281924	0.2016696
430	-1569.84	-1571.93	2.08369	0.3170821	0.239812	0.07727015	0.239812
440	-1570.4	-1572.85	2.44248	0.2587618	0.1598738	0.09888804	0.1598738
450	-1569.98	-1572.18	2.19182	0.305525	0.2377968	0.06772825	0.2377968
460	-1575.05	-1578.08	3.02719	0.1966765	0.08472158	0.111955	0.08472158
470	-1569.97	-1572.38	2.41228	0.2767382	0.2033907	0.07334748	0.2033907
480	-1570.98	-1573.57	2.59077	0.2559941	0.185474	0.0705201	0.185474
490	-1570.14	-1572.2	2.06265	0.3230682	0.2553068	0.06776146	0.2553068
500	-1569.91	-1572.38	2.4688	0.2656691	0.1816029	0.08406618	0.1816029
510	-1571.72	-1573.44	1.72408	0.371131	0.2987105	0.07242051	0.2987105
520	-1569.75	-1571.87	2.11934	0.3114734	0.2326481	0.0788252	0.2326481
530	-1569.67	-1571.85	2.17633	0.3049039	0.2276565	0.07724745	0.2276565
540	-1573.29	-1574.84	1.55632	0.3891305	0.3372979	0.05183266	0.3372979
550	-1570.25	-1572.26	2.01259	0.3174965	0.2283063	0.08919017	0.2283063
560	-1570.87	-1573.51	2.64078	0.2412292	0.1470781	0.09415106	0.1470781
570	-1569.9	-1572.04	2.13395	0.3017049	0.2120875	0.08961739	0.2120875
580	-1569.9	-1572.33	2.43832	0.2664727	0.177968	0.08850479	0.177968
590	-1570.28	-1572.59	2.30251	0.2735191	0.1740045	0.09951456	0.1740045
600	-1571.28	-1573.91	2.63005	0.2374672	0.1354978	0.1019694	0.1354978
610	-1570.42	-1572.72	2.30739	0.2898094	0.2260106	0.06379879	0.2260106
620	-1570.06	-1572.2	2.14062	0.2974928	0.2039521	0.09354063	0.2039521
630	-1571.08	-1573.52	2.43931	0.272556	0.2102726	0.06228342	0.2102726
640	-1570.93	-1573.18	2.2512	0.2942466	0.2358092	0.05843734	0.2358092
650	-1570.07	-1572.2	2.13503	0.2982945	0.2048896	0.0934049	0.2048896
660	-1570.22	-1572.31	2.08777	0.3194998	0.25419	0.06530975	0.25419
670	-1569.77	-1571.89	2.11932	0.3090881	0.2265759	0.08251224	0.2265759
680	-1569.85	-1572.19	2.34476	0.2852124	0.2126104	0.07260195	0.2126104
690	-1574.49	-1575.91	1.42399	0.4189428	0.3616108	0.05733202	0.3616108
700	-1569.83	-1572.26	2.42738	0.2687826	0.1819657	0.08681686	0.1819657
710	-1574.01	-1576	1.99022	0.2939847	0.2523996	0.04158513	0.2523996
720	-1570.65	-1573.14	2.48814	0.2680327	0.2001551	0.0678776	0.2001551
