Iteration	Posterior	Likelihood	Prior	event_rate	extinction_mean	rate_sd	speciation_mean
0	-1573.43	-1576.35	2.92011	0.001144014	0.1043913	0.0824157	0.2087825
1	-1569.63	-1572.26	2.63687	0.001719693	0.1059362	0.1202047	0.2560859
2	-1569.09	-1571.35	2.25989	0.001458438	0.1531768	0.1202047	0.2581998
3	-1571.3	-1573.23	1.92605	0.001222598	0.1992622	0.1617994	0.2581998
4	-1565.17	-1567.41	2.24223	0.001831809	0.1223225	0.2627095	0.2581998
5	-1566.81	-1568.43	1.61335	0.001831809	0.1344141	0.5767456	0.2581998
6	-1567.05	-1568.67	1.62673	0.00130937	0.1326269	0.5767456	0.2581998
7	-1566.67	-1569.3	2.63408	0.00130937	0.05895989	0.4203783	0.2767917
8	-1566.27	-1569.43	3.15734	0.00130937	0.04790478	0.5288524	0.1678349
9	-1567.3	-1570.46	3.15734	0.000586685	0.04790478	0.5288524	0.1678349
10	-1567.99	-1571.15	3.15634	0.0003177698	0.04795295	0.5288524	0.1678349
11	-1568.28	-1570.57	2.28768	0.0003177698	0.05758647	0.5288524	0.3331411
12	-1570.65	-1572.4	1.74312	0.0006290601	0.07456707	0.8470887	0.2579991
13	-1567.17	-1569.28	2.10917	0.0007713615	0.09066017	0.6138828	0.2188736
14	-1567.22	-1569.13	1.90817	0.001698827	0.1358893	0.7120304	0.1510617
15	-1567.08	-1569.81	2.73624	0.001361241	0.07993393	0.6829617	0.1178882
16	-1567.1	-1569.31	2.20804	0.001058805	0.07993393	0.6829617	0.1999242
17	-1567.17	-1569.21	2.04223	0.0006804288	0.07276779	0.8355367	0.1999242
18	-1566.59	-1569.43	2.83345	0.000643662	0.07276779	0.4352976	0.1791246
19	-1566.56	-1568.9	2.33228	0.00130312	0.07276779	0.4352976	0.2956712
20	-1566.91	-1569.02	2.10461	0.001817928	0.08969624	0.4461761	0.2956712
21	-1565.64	-1567.8	2.16167	0.002774753	0.08969624	0.5002456	0.2547127
22	-1565.84	-1568.11	2.26567	0.001974868	0.08969624	0.4391554	0.2547127
23	-1566.3	-1569	2.69995	0.001342111	0.06815202	0.3454142	0.2547127
24	-1565.86	-1568.35	2.49628	0.001648693	0.07549852	0.3454142	0.2818665
25	-1566.28	-1568.74	2.45096	0.001648693	0.1051183	0.5046351	0.161535
26	-1565.56	-1568.3	2.73781	0.001648693	0.07890421	0.5046351	0.161535
27	-1566.75	-1569.67	2.92087	0.002135618	0.07623839	0.4172919	0.161535
28	-1565.09	-1567.88	2.78997	0.002708863	0.07623839	0.4941854	0.161535
29	-1564.37	-1566.92	2.54975	0.002708863	0.08970036	0.4295525	0.1948755
