Iteration	Posterior	Likelihood	Prior	kappa	omega_background	omega_focal	omega_scalar	pi[1]	pi[2]	pi[3]	pi[4]	prob_inc
0	-0.57983	0	-0.57983	0.3560953	0.5700562	0.8737998	1.532831	0.567442	0.0107929	0.0604847	0.36128	1
10	-1.30065	0	-1.30065	0.9162583	0.1502546	0.2303148	1.532831	0.190537	0.241477	0.451478	0.116509	1
20	-1.1347	0	-1.1347	0.8966041	0.1802444	0.2762842	1.532831	0.206924	0.017787	0.232116	0.543173	1
30	-2.86732	0	-2.86732	3.058868	0.2163602	0.3316436	1.532831	0.111274	0.405395	0.059306	0.424025	1
40	-1.30752	0	-1.30752	0.7756875	1.0459	1.603187	1.532831	0.0274401	0.699057	0.00801167	0.265492	1
50	-1.68647	0	-1.68647	0.1820579	0.09231814	0.1415081	1.532831	0.103321	0.252613	0.00125764	0.642808	1
60	-1.34969	0	-1.34969	0.1380191	0.8854534	1.35725	1.532831	0.288011	0.347973	0.00682438	0.357192	1
70	-1.69241	0	-1.69241	1.262142	0.9490923	1.454798	1.532831	0.235699	0.103974	0.318307	0.34202	1
80	-2.34534	0	-2.34534	1.623871	1.261841	1.93419	1.532831	0.0282315	0.439436	0.289402	0.24293	1
90	-3.3317	0	-3.3317	1.031353	3.16659	4.853846	1.532831	0.0479872	0.0368571	0.799691	0.115465	1
100	-2.13518	0	-2.13518	0.3431536	2.261993	3.467253	1.532831	0.076528	0.139526	0.617143	0.166804	1
110	-1.80961	0	-1.80961	0.3973661	1.871621	2.868879	1.532831	0.236011	0.112999	0.287056	0.363934	1
120	-2.14393	0	-2.14393	1.203869	1.468216	2.250527	1.532831	0.100844	0.577228	0.199042	0.122886	1
130	-1.01098	0	-1.01098	0.3965274	1.02478	1.570815	1.532831	0.0516814	0.101057	0.428451	0.41881	1
140	-1.49028	0	-1.49028	0.678908	1.323103	2.028093	1.532831	0.0138396	0.432024	0.412912	0.141225	1
150	-0.522024	0	-0.522024	0.453125	0.4421761	0.6777811	1.532831	0.108297	0.387692	0.254604	0.249407	1
160	-2.3886	0	-2.3886	2.269785	0.7456608	1.142972	1.532831	0.220688	0.360268	0.217436	0.201608	1
170	-0.667487	0	-0.667487	0.4469067	0.6536037	1.001864	1.532831	0.413557	0.423869	0.0448613	0.117712	1
180	-1.44903	0	-1.44903	0.480783	0.09407231	0.144197	1.532831	0.0993037	0.36025	0.156072	0.384375	1
190	-1.66238	0	-1.66238	1.391933	0.7916088	1.213402	1.532831	0.112432	0.348464	0.439417	0.0996874	1
200	-1.04292	0	-1.04292	0.243304	0.9740669	1.49308	1.532831	0.198995	0.0727054	0.405512	0.322787	1
210	-1.27025	0	-1.27025	0.2534215	0.1110432	0.1702104	1.532831	0.156979	0.338991	0.197006	0.307024	1
220	-1.25624	0	-1.25624	1.007871	0.7618486	1.167785	1.532831	0.175116	0.469899	0.266776	0.0882092	1
230	-1.10462	0	-1.10462	1.099332	0.2981993	0.4570892	1.532831	0.497885	0.317378	0.160437	0.0242996	1
240	-1.56658	0	-1.56658	0.6265224	1.450911	2.224001	1.532831	0.122956	0.197744	0.15155	0.52775	1
250	-2.65547	0	-2.65547	0.1990329	2.695777	4.13217	1.532831	0.533068	0.0783857	0.0295914	0.358954	1
260	-2.77301	0	-2.77301	0.3993979	3.121578	4.784852	1.532831	0.249021	0.302707	0.115649	0.332623	1
270	-3.2939	0	-3.2939	0.80576	3.44692	5.283545	1.532831	0.0214612	0.0101193	0.231156	0.737264	1
280	-4.75848	0	-4.75848	1.683876	4.469554	6.851071	1.532831	0.234739	0.377585	0.186084	0.201592	1
290	-5.10889	0	-5.10889	1.850814	4.840254	7.419291	1.532831	0.130601	0.254461	0.292714	0.322224	1
300	-2.7944	0	-2.7944	0.2379471	3.020061	4.629244	1.532831	0.220914	0.332549	0.0245177	0.422019	1
310	-2.26457	0	-2.26457	0.7669183	2.092976	3.208178	1.532831	0.322742	0.232011	0.390091	0.0551573	1
320	-2.95064	0	-2.95064	0.8272779	2.910365	4.461098	1.532831	0.324371	0.333654	0.280744	0.0612313	1
330	-3.02234	0	-3.02234	0.2801653	3.444913	5.28047	1.532831	0.0332728	0.267992	0.671682	0.027053	1
340	-3.26461	0	-3.26461	0.5266046	3.785016	5.801789	1.532831	0.308	0.175404	0.109825	0.406771	1
