Iteration	Posterior	Likelihood	Prior	kappa	omega_background	omega_focal	omega_scalar	pi[1]	pi[2]	pi[3]	pi[4]	prob_inc
0	-1.07793	0	-1.07793	1.624386	0.4834108	0.470247	0.9727689	0.0762656	0.386638	0.403613	0.133483	0
10	-1.27739	0	-1.27739	0.07323423	0.2803488	0.2727146	0.9727689	0.312176	0.222115	0.380242	0.0854676	0
20	-0.0321083	0	-0.0321083	0.3478103	0.2391665	0.2326537	0.9727689	0.0735288	0.376354	0.53564	0.0144768	0
30	-0.804601	0	-0.804601	0.4625178	1.345258	1.308625	0.9727689	0.0865039	0.160109	0.277973	0.475414	0
40	-0.294794	0	-0.294794	0.8330526	0.4557569	0.4433461	0.9727689	0.0950157	0.0819811	0.575258	0.247745	0
50	-0.101692	0	-0.101692	0.5513798	0.551525	0.5365064	0.9727689	0.0798334	0.344712	0.365523	0.209932	0
60	-0.450901	0	-0.450901	0.8492326	0.2077934	0.202135	0.9727689	0.250834	0.378105	0.31714	0.0539212	0
70	-1.83646	0	-1.83646	2.292022	0.7197491	0.7001496	0.9727689	0.291459	0.104782	0.481265	0.122494	0
80	-1.17971	0	-1.17971	1.64632	0.5992944	0.582975	0.9727689	0.256073	0.059465	0.097694	0.586768	0
90	-2.43737	0	-2.43737	3.044065	0.7636858	0.7428898	0.9727689	0.14911	0.210137	0.4141	0.226653	0
100	-0.342426	0	-0.342426	0.6471164	0.7409389	0.7207623	0.9727689	0.38953	0.228805	0.0939403	0.287725	0
110	-0.686797	0	-0.686797	0.714304	1.028821	1.000805	0.9727689	0.511741	0.0321935	0.390996	0.0650691	0
120	-1.01816	0	-1.01816	0.8577133	1.223475	1.190158	0.9727689	0.10775	0.385113	0.0441499	0.462988	0
130	-0.273053	0	-0.273053	0.7660905	0.2556839	0.2487214	0.9727689	0.219162	0.220004	0.260347	0.300487	0
140	-0.655368	0	-0.655368	0.2658191	1.165368	1.133633	0.9727689	0.0916117	0.0921595	0.5694	0.246829	0
150	-0.455754	0	-0.455754	0.884053	0.2194005	0.213426	0.9727689	0.501147	0.328107	0.119146	0.0516004	0
160	-0.0716666	0	-0.0716666	0.2340181	0.4728847	0.4600076	0.9727689	0.0676282	0.374268	0.27712	0.280984	0
170	-1.21837	0	-1.21837	1.161541	1.119829	1.089335	0.9727689	0.694646	0.0687771	0.059041	0.177536	0
180	-1.05522	0	-1.05522	0.1868267	1.394511	1.356537	0.9727689	0.176024	0.413475	0.150632	0.25987	0
190	-2.93388	0	-2.93388	1.718084	2.463985	2.396888	0.9727689	0.50858	0.0216254	0.240135	0.22966	0
200	-1.95858	0	-1.95858	0.8595312	2.276072	2.214092	0.9727689	0.615702	0.0164204	0.244378	0.123499	0
210	-0.131379	0	-0.131379	0.3174392	0.6733066	0.6549717	0.9727689	0.30258	0.377269	0.097429	0.222722	0
220	-0.454783	0	-0.454783	0.533603	0.9477755	0.9219665	0.9727689	0.0710035	0.0433678	0.263576	0.622052	0
230	-0.806231	0	-0.806231	0.9427388	0.9255545	0.9003507	0.9727689	0.0564417	0.246449	0.339432	0.357677	0
240	-2.96951	0	-2.96951	0.8158349	3.781142	3.678178	0.9727689	0.0526927	0.310492	0.256869	0.379946	0
250	-2.62706	0	-2.62706	1.437954	2.401738	2.336336	0.9727689	0.146352	0.276777	0.130042	0.446829	0
260	-2.31075	0	-2.31075	1.06604	2.462092	2.395046	0.9727689	0.0764569	0.235026	0.147108	0.541409	0
270	-4.25149	0	-4.25149	2.559801	3.338245	3.247341	0.9727689	0.192651	0.148376	0.575624	0.0833492	0
280	-3.39664	0	-3.39664	2.661282	2.080504	2.023849	0.9727689	0.0607052	0.386799	0.457901	0.0945953	0
290	-1.4921	0	-1.4921	0.8205689	1.768297	1.720144	0.9727689	0.0380105	0.515403	0.362273	0.0843134	0
300	-2.23207	0	-2.23207	0.7021816	2.835459	2.758247	0.9727689	0.113134	0.688581	0.0241171	0.174168	0
310	-1.08211	0	-1.08211	0.4511334	1.647042	1.602192	0.9727689	0.109343	0.849225	0.0104682	0.0309639	0
320	-1.30649	0	-1.30649	0.3512566	1.922909	1.870546	0.9727689	0.404317	0.328857	0.0780323	0.188794	0
330	-0.720457	0	-0.720457	0.6792918	1.094689	1.064879	0.9727689	0.368132	0.23328	0.151907	0.246681	0
340	-0.324201	0	-0.324201	0.3213152	0.1543428	0.1501399	0.9727689	0.648696	0.160623	0.162855	0.0278262	0
350	-0.664548	0	-0.664548	0.9434287	0.7808851	0.7596208	0.9727689	0.26978	0.363119	0.249339	0.117761	0
360	-0.0161276	0	-0.0161276	0.5420834	0.3397784	0.3305259	0.9727689	0.627573	0.175787	0.139324	0.0573156	0
370	-1.10223	0	-1.10223	1.398361	0.1757366	0.1709511	0.9727689	0.13288	0.703298	0.0731577	0.0906643	0
380	-0.166939	0	-0.166939	0.2804283	0.197876	0.1924876	0.9727689	0.247033	0.228609	0.173755	0.350604	0
390	-4.04943	0	-4.04943	3.282036	2.34682	2.282914	0.9727689	0.0657915	0.373524	0.346132	0.214553	0
400	-2.06354	0	-2.06354	2.116022	1.095395	1.065566	0.9727689	0.0158763	0.490497	0.459223	0.0344044	0
410	-1.20121	0	-1.20121	1.445732	0.8257082	0.8032233	0.9727689	0.656479	0.0182282	0.237174	0.0881182	0
420	-0.717776	0	-0.717776	1.129515	0.6370402	0.6196929	0.9727689	0.312792	0.129662	0.489556	0.0679891	0
430	-0.191881	0	-0.191881	0.3202212	0.1828331	0.1778543	0.9727689	0.0163699	0.107603	0.144064	0.731963	0
440	-1.24414	0	-1.24414	1.626402	0.1949357	0.1896274	0.9727689	0.0100511	0.473865	0.195086	0.320997	0
450	-1.37865	0	-1.37865	1.625104	0.8364543	0.8136767	0.9727689	0.0387853	0.126634	0.25651	0.57807	0
460	-3.00652	0	-3.00652	1.922019	2.327789	2.264401	0.9727689	0.506943	0.0784465	0.400403	0.0142076	0
470	-1.37788	0	-1.37788	1.405408	1.041828	1.013458	0.9727689	0.124715	0.313121	0.278889	0.283275	0
480	-0.319744	0	-0.319744	0.6803684	0.6846086	0.665966	0.9727689	0.458004	0.0993178	0.291453	0.151225	0
490	-2.25794	0	-2.25794	0.4279111	3.154427	3.068529	0.9727689	0.173967	0.415487	0.332598	0.0779479	0
500	-2.90079	0	-2.90079	0.9819287	3.412924	3.319986	0.9727689	0.165077	0.248154	0.264547	0.322222	0
510	-1.16194	0	-1.16194	1.164379	1.06038	1.031505	0.9727689	0.243788	0.357257	0.108305	0.29065	0
520	-1.08329	0	-1.08329	0.1243797	1.057509	1.028712	0.9727689	0.0393008	0.524934	0.289223	0.146542	0
530	-0.523644	0	-0.523644	0.3243985	1.077977	1.048622	0.9727689	0.623554	0.291549	0.0441069	0.0407893	0
540	-1.15732	0	-1.15732	0.9908773	1.23018	1.19668	0.9727689	0.107597	0.260082	0.14396	0.48836	0
550	-0.507684	0	-0.507684	0.8196047	0.7450476	0.7247592	0.9727689	0.506394	0.128527	0.0150639	0.350016	0
560	-1.4036	0	-1.4036	0.112782	1.269259	1.234696	0.9727689	0.0566028	0.344505	0.216477	0.382416	0
570	-1.00922	0	-1.00922	0.4794622	1.552169	1.509902	0.9727689	0.0704761	0.644564	0.240463	0.0444973	0
580	-1.98518	0	-1.98518	0.8779145	2.286589	2.224322	0.9727689	0.132141	0.213726	0.150992	0.503141	0
590	-2.66627	0	-2.66627	2.466553	1.426249	1.387411	0.9727689	0.0711983	0.664659	0.0951004	0.169042	0
600	-1.37099	0	-1.37099	0.8152033	1.639502	1.594856	0.9727689	0.0297331	0.94242	0.014691	0.0131562	0
610	-1.10067	0	-1.10067	0.2065859	1.509281	1.468182	0.9727689	0.440422	0.508311	0.0116183	0.0396487	0
620	-1.03988	0	-1.03988	1.579301	0.4892688	0.4759455	0.9727689	0.086792	0.476254	0.0628104	0.374143	0
630	-1.69815	0	-1.69815	1.434728	1.338655	1.302202	0.9727689	0.0388204	0.307768	0.28691	0.366502	0
640	-1.3369	0	-1.3369	1.039992	1.364512	1.327355	0.9727689	0.000515392	0.657979	0.046459	0.295046	0
650	-1.43161	0	-1.43161	0.4567284	2.043912	1.988255	0.9727689	0.00304638	0.207783	0.166151	0.62302	0
660	-1.44678	0	-1.44678	0.2964158	2.062111	2.005957	0.9727689	0.0264396	0.266421	0.438924	0.268216	0
670	-1.02783	0	-1.02783	1.066409	1.02364	0.9957655	0.9727689	0.176284	0.710451	0.0489095	0.0643561	0
680	-1.17989	0	-1.17989	0.3622096	1.77897	1.730527	0.9727689	0.256871	0.183544	0.499247	0.0603373	0
690	-2.22775	0	-2.22775	0.3124543	3.107493	3.022872	0.9727689	0.0490747	0.216646	0.672315	0.0619639	0
700	-1.95241	0	-1.95241	0.2168795	2.55098	2.481514	0.9727689	0.0884179	0.533275	0.136871	0.241437	0
710	-2.61009	0	-2.61009	0.4518738	3.679055	3.578871	0.9727689	0.890534	0.0549119	0.0127679	0.0417863	0
720	-3.15326	0	-3.15326	1.744266	2.724188	2.650005	0.9727689	0.400483	0.360412	0.0986159	0.140488	0
730	-1.72831	0	-1.72831	0.442506	2.418885	2.353016	0.9727689	0.309097	0.621599	0.0176947	0.05161	0
740	-0.943156	0	-0.943156	0.269597	1.467395	1.427436	0.9727689	0.654106	0.253442	0.00397113	0.0884809	0
750	-1.27945	0	-1.27945	1.78761	0.5649737	0.5495888	0.9727689	0.017887	0.111598	0.0627972	0.807718	0
760	-1.17013	0	-1.17013	0.3228893	1.758532	1.710645	0.9727689	0.0450734	0.160218	0.121483	0.673226	0
770	-2.03879	0	-2.03879	0.4696289	2.81584	2.739162	0.9727689	0.139454	0.382927	0.209215	0.268405	0
780	-2.7781	0	-2.7781	0.4580925	3.948274	3.840759	0.9727689	0.46299	0.330128	0.0402818	0.1666	0
790	-2.67485	0	-2.67485	0.6462195	3.563794	3.466748	0.9727689	0.0454523	0.394168	0.266488	0.293892	0
800	-2.77273	0	-2.77273	0.9283544	3.299745	3.209889	0.9727689	0.189513	0.475788	0.172822	0.161878	0
810	-4.12324	0	-4.12324	1.407724	4.774017	4.644016	0.9727689	0.268215	0.156768	0.0345518	0.540465	0
